FIRST NAME,LAST NAME,EMAIL,PHONE NUMBER,IMAGE NAME,EMPLOYEE ID,BEACON ID,ROLE,DEPARTMENT,PERSONALISATION VALUE,START DATE
Aaliyah,Jackson,abc@gmail.com,7507584060,img1,johncom1,abcdefgh12345678,Business Center Agent,Business Center,classic cars,9/25/2015
Sara,Jane,xyz@gmail.com,7507584061,img2,baracom1,dsjf89ssdf8sfd7d,Business Center Agent,,"coding, travelling",1/13/2015
Andre ,Garces,andre@yahoo.com,(080)455-4542,,AL1E234,sdfsd7s990sfsfds,Assistant Manager,Billing,racing,1/2/2010
Brittany,Smith,brittany@gmail.com,654-545-4565,img4,AL1E235,2mn2924n2fs9dfss,Multi-Unit Manager,Front Office,Painting,
Frederika ,Johansson,,2341121321,img5,AL1E236,9hdgusf8fhh8dfsf,Manager,Clinical,"Formula 1, Bikes",12/12/1999
Hunter,Bell,bell@gmail.com,,img6,AL1E237,,Associate,Front of house,,8/15/2014
John,Doe,john_doe@gmail.com,(024)574-4545,img7,AL1E238,,Crew,Staff,"Trekking, shopping",7/21/2017
Nia,Robinson,nia.r@log.com,854-454-5422,img8,AL1E239,,QA,IT,Biking,4/3/2012
Brenda,Loe,br_loe@hotmail.com,7845145745,img9,AL1E240,,Intern,HR,Music,1/4/2016
Trevon,Owens,trevon@gm.com,5454854142,img10,AL1E241,,Associate,Development,rafting,12/22/2015
